ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0042110,T cell activation,446/15173,483/18866,1.20E-13,1.26E-11,8.67E-12,ABL1/ADA/ADAM17/ADAM8/ADORA2A/AGER/AIF1/AIRE/AKT1/ANXA1/AP3B1/AP3D1/APBB1IP/ARG1/ARG2/ATG5/ATP7A/AZI2/B2M/BAD/BATF/BAX/BCL10/BCL11B/BCL2/BCL3/BCL6/BMP4/BTLA/BTN2A2/BTN3A1/CAMK4/CARD11/CASP3/CASP8/CAV1/CBFB/CCDC88B/CCL2/CCL5/CCND3/CCR2/CCR6/CCR7/CCR9/CD151/CD160/CD1C/CD1D/CD2/CD209/CD24/CD27/CD274/CD276/CD28/CD300A/CD3D/CD3E/CD3G/CD4/CD40LG/CD44/CD46/CD47/CD5/CD55/CD6/CD7/CD70/CD74/CD80/CD81/CD83/CD86/CD8A/CD8B/CDC42/CDH26/CDK6/CEACAM1/CEBPB/CGAS/CHD7/CLC/CLEC4A/CLEC4D/CLEC4E/CLEC4G/CLEC7A/CLECL1/CLPTM1/CORO1A/CR1/CRTAM/CSK/CTLA4/CTNNB1/CTPS1/CTSL/CXADR/CYLD/CYRIB/DDOST/DLG1/DLG5/DNAJA3/DOCK2/DOCK8/DPP4/DROSHA/DTX1/DUSP10/DUSP22/DUSP3/EBI3/EFNB1/EFNB2/EFNB3/EGR1/EGR3/EIF2AK4/ELF4/EOMES/ERBB2/F2RL1/FADD/FANCA/FANCD2/FCER1G/FCGR2B/FGL2/FKBP1A/FKBP1B/FLOT2/FOXJ1/FOXP1/FOXP3/FUT7/FYN/FZD5/FZD7/FZD8/GATA3/GLI3/GLMN/GNRH1/GPAM/GPNMB/GPR18/GPR183/GPR89A/GPR89B/GRAP2/GRB2/GSN/HAVCR2/HES1/HFE/HHLA2/HLA-A/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-E/HLA-G/HLX/HMGB1/HSH2D/HSPD1/HSPH1/ICAM1/ICOS/ICOSLG/IDO1/IFNA21/IFNA5/IFNB1/IFNE/IFNG/IFNK/IFNL1/IFNW1/IGFBP2/IHH/IL10/IL12A/IL12RB1/IL15/IL18/IL18R1/IL1A/IL1B/IL1RL2/IL2/IL20RB/IL21/IL23A/IL23R/IL27/IL27RA/IL2RA/IL4/IL4R/IL6/IL6ST/IL7/IL7R/IRF1/IRF4/ITGAL/ITK/ITPKB/JAG2/JAK3/JAML/JMJD6/KAT2A/KDELR1/KIF13B/KIT/KLRC4-KLRK1/KLRK1/LAG3/LAT/LAX1/LCK/LCP1/LEF1/LEP/LEPR/LFNG/LGALS1/LGALS3/LGALS9/LGALS9B/LGALS9C/LIG4/LILRB1/LILRB2/LILRB4/LMBR1L/LOXL3/LRRC32/LY9/LYN/MAD1L1/MAFB/MALT1/MAP3K8/MAPK8IP1/MARCHF7/MDK/METTL3/MICA/MICB/MR1/MSN/MTOR/MYB/MYH9/NCAPH2/NCK1/NCK2/NCKAP1L/NCSTN/NDFIP1/NEDD4/NFATC2/NFKBID/NFKBIZ/NHEJ1/NKAP/NLRC3/NLRP3/NOD2/NRARP/P2RX7/PAG1/PAK1/PAK2/PAK3/PATZ1/PAWR/PCK1/PDCD1/PDCD1LG2/PDE5A/PDPK1/PELI1/PIK3CA/PIK3CD/PIK3CG/PIK3R1/PIK3R6/PKNOX1/PLA2G2D/PLA2G2F/PNP/PPP3CA/PPP3CB/PRDM1/PRDX2/PRELID1/PREX1/PRKAR1A/PRKCQ/PRKCZ/PRKDC/PRNP/PRR7/PSAP/PSEN1/PSMB10/PTGER4/PTPN11/PTPN2/PTPN22/PTPN6/PTPRC/PYCARD/RAB27A/RAB29/RABL3/RAC1/RAC2/RAG1/RAG2/RARA/RASAL3/RASGRP1/RC3H1/RC3H2/RELB/RHOA/RHOH/RIPK2/RIPK3/RIPOR2/RORA/RORC/RPS3/RSAD2/RUNX1/RUNX2/RUNX3/SART1/SASH3/SATB1/SCGB1A1/SCRIB/SDC4/SELENOK/SEMA4A/SFTPD/SH3RF1/SHH/SIRPA/SIRPB1/SIRPG/SIT1/SLA2/SLAMF6/SLC11A1/SLC46A2/SLC7A1/SMAD3/SMAD7/SOCS1/SOCS5/SOCS6/SOD1/SOS1/SOX12/SOX13/SOX4/SP3/SPN/SPTA1/SRC/SRF/STAT3/STAT5B/STAT6/STK11/STOML2/SYK/TARM1/TBX21/TCF7/TCIRG1/TESPA1/TFRC/TGFBR2/THEMIS/TIGIT/TMEM131L/TMEM98/TMIGD2/TNFAIP8L2/TNFRSF13C/TNFRSF14/TNFRSF18/TNFRSF1B/TNFRSF21/TNFRSF4/TNFSF11/TNFSF13B/TNFSF14/TNFSF18/TNFSF4/TNFSF8/TNFSF9/TOX/TP53/TRAF6/TREML2/TSC1/TWSG1/VAV1/VCAM1/VNN1/VSIG4/VSIR/VTCN1/WAS/WNT1/WNT4/XBP1/XCL1/YES1/ZAP70/ZBTB1/ZBTB16/ZBTB7B/ZC3H12A/ZC3H8/ZEB1/ZFP36L1/ZFP36L2/ZFPM1/ZMIZ1/ZNF683/ZP3,446
GO:0050852,T cell receptor signaling pathway,199/15173,206/18866,4.45E-12,3.00E-10,2.07E-10,ABL1/ADA/BCL10/BTN1A1/BTN2A1/BTN2A2/BTN2A3P/BTN3A1/BTN3A2/BTN3A3/BTNL10/BTNL2/BTNL8/BTNL9/BTRC/CACNA1F/CACNB3/CARD11/CCR7/CD160/CD226/CD247/CD276/CD28/CD300A/CD3D/CD3E/CD3G/CD4/CD81/CEACAM1/CHUK/CRKL/CSK/CTLA4/CUL1/CYLD/DENND1B/DGKZ/DUSP22/DUSP3/EIF2B1/EIF2B2/EIF2B3/EIF2B4/EIF2B5/ELF1/ERMAP/EZR/FBXW11/FOXP3/FYB1/FYN/GATA3/GBP1/GRAP2/HHLA2/HLA-A/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/HRAS/ICOSLG/IKBKB/IKBKG/INPP5D/ITK/KCNN4/KHDRBS1/LAT/LCK/LCP2/LGALS3/LILRB4/LIME1/MALT1/MAP3K7/MAPK1/MOG/NCK1/NECTIN2/NFKB1/NFKBID/NFKBIZ/PAG1/PAK1/PAK2/PAK3/PAWR/PDE4B/PDE4D/PDPK1/PHPT1/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PLCG1/PLCG2/PRAM1/PRKCQ/PRKD2/PRNP/PSEN1/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMA8/PSMB1/PSMB10/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMB8/PSMB9/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMC6/PSMD1/PSMD10/PSMD11/PSMD12/PSMD13/PSMD14/PSMD2/PSMD3/PSMD4/PSMD5/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/PSME4/PSMF1/PTPN2/PTPN22/PTPN6/PTPRC/PTPRJ/PVRIG/RAB29/RBCK1/RC3H1/RC3H2/RELA/RFTN1/RIPK2/RNF31/RPS3/SH2D1A/SKAP1/SKP1/SLA2/SPPL3/STK11/STOML2/TAB2/TEC/TESPA1/THEMIS/THEMIS2/TNFRSF21/TRAC/TRAF6/TRAT1/TRAV19/TRAV29DV5/TRAV8-4/TRBC1/TRBV12-3/TRBV7-9/TXK/UBASH3A/UBE2N/VTCN1/WAS/WNK1/ZAP70/ZC3H12A,199
GO:0050863,regulation of T cell activation,310/15173,332/18866,1.59E-11,9.33E-10,6.43E-10,ABL1/ADA/ADAM8/ADORA2A/AGER/AIF1/AKT1/ANXA1/AP3B1/AP3D1/ARG1/ARG2/BAD/BCL10/BCL6/BMP4/BTLA/BTN2A2/CAMK4/CARD11/CASP3/CAV1/CBFB/CCDC88B/CCL2/CCL5/CCR2/CCR7/CD160/CD1D/CD2/CD209/CD24/CD27/CD274/CD276/CD28/CD300A/CD3E/CD4/CD40LG/CD46/CD47/CD5/CD55/CD6/CD70/CD74/CD80/CD81/CD83/CD86/CDC42/CEACAM1/CEBPB/CGAS/CLC/CLEC4G/CLECL1/CLPTM1/CORO1A/CR1/CRTAM/CSK/CTLA4/CTNNB1/CYLD/CYRIB/DLG1/DLG5/DNAJA3/DOCK8/DPP4/DROSHA/DTX1/DUSP10/DUSP22/DUSP3/EBI3/EFNB1/EFNB2/EFNB3/EGR3/ERBB2/FADD/FANCA/FANCD2/FCGR2B/FGL2/FLOT2/FOXJ1/FOXP3/FYN/GATA3/GLI3/GLMN/GNRH1/GPAM/GPNMB/GRAP2/GRB2/GSN/HAVCR2/HES1/HFE/HHLA2/HLA-A/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-E/HLA-G/HLX/HMGB1/HSPD1/HSPH1/ICOS/ICOSLG/IDO1/IFNB1/IFNG/IFNL1/IGFBP2/IHH/IL10/IL12A/IL12RB1/IL15/IL18/IL1A/IL1B/IL1RL2/IL2/IL20RB/IL21/IL23A/IL23R/IL27/IL27RA/IL2RA/IL4/IL4R/IL6/IL6ST/IL7/IL7R/IRF1/IRF4/ITPKB/JAK3/KAT2A/KLRC4-KLRK1/KLRK1/LAG3/LAT/LAX1/LCK/LEF1/LEP/LGALS1/LGALS3/LGALS9/LGALS9B/LGALS9C/LILRB1/LILRB2/LILRB4/LOXL3/LRRC32/LYN/MAD1L1/MALT1/MAP3K8/MAPK8IP1/MARCHF7/MDK/METTL3/MYB/NCK1/NCK2/NCKAP1L/NDFIP1/NFATC2/NFKBID/NFKBIZ/NKAP/NLRP3/NOD2/NRARP/PAG1/PAK1/PAK2/PAK3/PAWR/PCK1/PDCD1/PDCD1LG2/PDE5A/PDPK1/PELI1/PIK3CA/PIK3R1/PIK3R6/PLA2G2D/PLA2G2F/PNP/PRDM1/PRDX2/PRELID1/PRKAR1A/PRKCQ/PRKCZ/PRNP/PTPN11/PTPN2/PTPN22/PTPN6/PTPRC/PYCARD/RAC1/RAC2/RAG1/RARA/RASAL3/RASGRP1/RC3H1/RC3H2/RHOA/RHOH/RIPK2/RIPK3/RIPOR2/RPS3/RUNX1/RUNX3/SART1/SASH3/SCGB1A1/SCRIB/SDC4/SELENOK/SFTPD/SH3RF1/SHH/SIRPA/SIRPB1/SIRPG/SIT1/SLC46A2/SLC7A1/SMAD7/SOCS1/SOCS5/SOCS6/SOD1/SOS1/SOX12/SOX13/SOX4/SPN/SPTA1/SRC/STAT5B/SYK/TARM1/TBX21/TCF7/TESPA1/TFRC/TGFBR2/TIGIT/TMEM131L/TMIGD2/TNFAIP8L2/TNFRSF13C/TNFRSF14/TNFRSF18/TNFRSF1B/TNFRSF21/TNFSF11/TNFSF13B/TNFSF14/TNFSF18/TNFSF4/TNFSF8/TNFSF9/TOX/TRAF6/TWSG1/VAV1/VCAM1/VNN1/VSIG4/VSIR/VTCN1/XBP1/XCL1/YES1/ZAP70/ZBTB1/ZBTB16/ZBTB7B/ZC3H12A/ZC3H8/ZEB1/ZMIZ1/ZNF683/ZP3,310
GO:0030217,T cell differentiation,239/15173,253/18866,1.09E-10,5.31E-09,3.66E-09,ABL1/ADA/ADAM17/ADAM8/AIRE/ANXA1/AP3B1/AP3D1/ATG5/ATP7A/B2M/BAD/BATF/BCL11B/BCL2/BCL3/BCL6/BMP4/BTN2A2/CAMK4/CARD11/CBFB/CCR2/CCR6/CCR7/CCR9/CD1D/CD2/CD27/CD28/CD3D/CD3E/CD3G/CD4/CD46/CD74/CD80/CD83/CD86/CD8A/CDK6/CHD7/CLEC4D/CLEC4E/CLPTM1/CR1/CRTAM/CTLA4/CTNNB1/CTSL/CYLD/DNAJA3/DOCK2/DROSHA/DTX1/DUSP10/EGR1/EGR3/EOMES/ERBB2/FADD/FANCA/FANCD2/FCER1G/FGL2/FOXJ1/FOXP1/FOXP3/FUT7/FZD5/FZD7/FZD8/GATA3/GLI3/GPR18/GPR183/GPR89A/GPR89B/HLA-DOA/HLA-G/HLX/HMGB1/IFNB1/IFNG/IFNL1/IHH/IL12A/IL12RB1/IL15/IL18/IL18R1/IL1A/IL1B/IL1RL2/IL2/IL21/IL23A/IL23R/IL27/IL2RA/IL4/IL4R/IL6/IL7/IL7R/IRF1/IRF4/ITK/ITPKB/JAG2/JAK3/JMJD6/KAT2A/KDELR1/KIT/LAG3/LCK/LEF1/LEP/LEPR/LFNG/LGALS9/LIG4/LILRB2/LILRB4/LMBR1L/LOXL3/LY9/MAFB/MALT1/MDK/METTL3/MR1/MTOR/MYB/NCAPH2/NCKAP1L/NFATC2/NFKBID/NFKBIZ/NHEJ1/NKAP/NLRP3/NRARP/PATZ1/PCK1/PIK3CD/PIK3R6/PKNOX1/PLA2G2D/PNP/PPP3CB/PRDM1/PRDX2/PRELID1/PREX1/PRKCZ/PRKDC/PRR7/PSAP/PTGER4/PTPN2/PTPN22/PTPRC/RABL3/RAG1/RAG2/RARA/RASGRP1/RC3H1/RC3H2/RELB/RHOA/RHOH/RIPK2/RIPK3/RORA/RORC/RSAD2/RUNX1/RUNX2/RUNX3/SART1/SASH3/SATB1/SEMA4A/SH3RF1/SHH/SLAMF6/SLC46A2/SMAD7/SOCS1/SOCS5/SOD1/SOS1/SOX12/SOX13/SOX4/SP3/SPN/SRF/STAT3/STAT5B/STAT6/STK11/SYK/TBX21/TCF7/TCIRG1/TESPA1/TGFBR2/THEMIS/TMEM131L/TMEM98/TNFRSF18/TNFSF4/TNFSF8/TNFSF9/TOX/TP53/TSC1/VAV1/VNN1/VSIR/WNT1/WNT4/XBP1/ZAP70/ZBTB1/ZBTB16/ZBTB7B/ZC3H12A/ZC3H8/ZEB1/ZFP36L1/ZFP36L2/ZFPM1/ZMIZ1/ZNF683,239
GO:0050870,positive regulation of T cell activation,202/15173,214/18866,3.88E-09,1.31E-07,9.01E-08,ADA/ADAM8/AGER/AIF1/AKT1/ANXA1/AP3B1/AP3D1/BAD/BCL10/BCL6/BTLA/BTN2A2/CARD11/CAV1/CBFB/CCDC88B/CCL2/CCL5/CCR2/CCR7/CD160/CD1D/CD209/CD24/CD27/CD274/CD276/CD28/CD3E/CD4/CD40LG/CD46/CD47/CD5/CD55/CD6/CD70/CD74/CD80/CD81/CD83/CD86/CDC42/CLECL1/CORO1A/CSK/CTLA4/CYLD/CYRIB/DNAJA3/DOCK8/DPP4/DUSP10/EBI3/EFNB1/EFNB2/EFNB3/EGR3/FADD/FLOT2/FOXP3/FYN/GATA3/GLI3/GPAM/GRAP2/GRB2/HAVCR2/HES1/HHLA2/HLA-A/HLA-DMB/HLA-DPA1/HLA-DPB1/HLA-E/HLA-G/HLX/HMGB1/HSPD1/HSPH1/ICOS/ICOSLG/IFNG/IGFBP2/IHH/IL12A/IL12RB1/IL15/IL18/IL1A/IL1B/IL1RL2/IL2/IL21/IL23A/IL23R/IL27RA/IL2RA/IL4/IL4R/IL6/IL6ST/IL7/IL7R/ITPKB/JAK3/KLRC4-KLRK1/KLRK1/LCK/LEF1/LEP/LGALS1/LGALS9/LILRB1/LILRB2/LILRB4/LYN/MALT1/MAP3K8/MDK/MYB/NCK1/NCK2/NCKAP1L/NFKBID/NFKBIZ/NKAP/NLRP3/NOD2/PAK1/PAK2/PAK3/PCK1/PDCD1/PDCD1LG2/PDPK1/PIK3CA/PIK3R1/PIK3R6/PNP/PRKCQ/PRKCZ/PTPN11/PTPN22/PTPN6/PTPRC/PYCARD/RAC1/RAG1/RARA/RASAL3/RASGRP1/RHOA/RHOH/RIPK2/RPS3/RUNX1/RUNX3/SART1/SASH3/SELENOK/SHH/SIRPA/SIRPB1/SIRPG/SLC7A1/SOCS1/SOCS5/SOX12/SOX13/SOX4/SPTA1/SRC/STAT5B/SYK/TESPA1/TFRC/TGFBR2/TMIGD2/TNFRSF13C/TNFRSF14/TNFSF11/TNFSF13B/TNFSF14/TNFSF4/TNFSF9/TRAF6/VAV1/VCAM1/VNN1/VSIR/VTCN1/XBP1/XCL1/YES1/ZAP70/ZBTB1/ZBTB16/ZBTB7B/ZMIZ1/ZP3,202
GO:0042098,T cell proliferation,184/15173,195/18866,2.13E-08,5.96E-07,4.11E-07,ABL1/AGER/AIF1/ANXA1/ARG1/ARG2/BAX/BMP4/BTN2A2/BTN3A1/CARD11/CASP3/CCDC88B/CCL5/CCND3/CCR2/CD151/CD1D/CD209/CD24/CD274/CD276/CD28/CD3E/CD4/CD40LG/CD46/CD55/CD6/CD70/CD80/CD81/CD86/CEBPB/CLC/CLEC4G/CLECL1/CORO1A/CRTAM/CTLA4/CTNNB1/CTPS1/DLG1/DLG5/DNAJA3/DOCK2/DOCK8/EBI3/EFNB1/ELF4/ERBB2/FADD/FKBP1B/FOXJ1/FOXP3/FYN/GLMN/GNRH1/GPAM/GPNMB/HAVCR2/HES1/HHLA2/HLA-A/HLA-DMB/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-E/HLA-G/HMGB1/ICOSLG/IDO1/IGFBP2/IHH/IL10/IL12A/IL12RB1/IL15/IL18/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/IL27/IL27RA/IL2RA/IL4/IL6/IL6ST/IRF1/JAK3/LEP/LGALS3/LGALS9/LGALS9B/LGALS9C/LILRB1/LILRB2/LMBR1L/LRRC32/MAD1L1/MALT1/MAPK8IP1/MARCHF7/MSN/NCK1/NCK2/NCKAP1L/NCSTN/NDFIP1/P2RX7/PAWR/PDCD1LG2/PDE5A/PELI1/PIK3CG/PLA2G2D/PLA2G2F/PNP/PPP3CB/PRDX2/PRKAR1A/PRKCQ/PRNP/PSMB10/PTPN22/PTPN6/PTPRC/PYCARD/RAC2/RASAL3/RASGRP1/RC3H1/RC3H2/RIPK2/RIPK3/RPS3/SASH3/SATB1/SCGB1A1/SCRIB/SDC4/SELENOK/SFTPD/SH3RF1/SHH/SLC11A1/SLC7A1/SOS1/SPN/SPTA1/STAT5B/SYK/TFRC/TGFBR2/TMEM131L/TMIGD2/TNFRSF13C/TNFRSF14/TNFRSF1B/TNFRSF21/TNFRSF4/TNFSF13B/TNFSF14/TNFSF18/TNFSF4/TNFSF8/TNFSF9/TP53/TRAF6/TWSG1/VCAM1/VSIG4/VSIR/VTCN1/WNT4/XCL1/ZAP70/ZBTB7B/ZP3,184
GO:0046631,alpha-beta T cell activation,138/15173,146/18866,9.62E-07,1.68E-05,1.16E-05,ABL1/ADA/ADORA2A/AGER/ANXA1/AP3B1/AP3D1/ARG2/ATP7A/BATF/BCL11B/BCL2/BCL3/BCL6/CBFB/CCR2/CD160/CD274/CD28/CD300A/CD3E/CD55/CD80/CD81/CD83/CD86/CDH26/CLEC4A/CRTAM/CTSL/DOCK2/EBI3/ELF4/EOMES/FOXP1/FOXP3/FUT7/GATA3/GLI3/GPR18/GPR183/HFE/HLA-A/HLA-E/HLX/HMGB1/HSPH1/IFNG/IHH/IL12A/IL12RB1/IL15/IL18/IL18R1/IL2/IL21/IL23A/IL23R/IL27/IL4/IL4R/IL6/IRF1/IRF4/ITK/ITPKB/JAK3/LEF1/LGALS9/LGALS9B/LGALS9C/LILRB1/LOXL3/LY9/MALT1/MAPK8IP1/MTOR/MYB/NCKAP1L/NFKBID/NFKBIZ/NKAP/NLRP3/PLA2G2D/PNP/PRDM1/PRKCQ/PRKCZ/PRR7/PSAP/PTGER4/PTPN22/PTPRC/RARA/RASAL3/RC3H1/RC3H2/RELB/RHOA/RIPK2/RORA/RORC/RSAD2/RUNX1/RUNX3/SASH3/SATB1/SEMA4A/SH3RF1/SHH/SLAMF6/SMAD7/SOCS1/SOCS5/SPN/STAT3/STAT6/STOML2/SYK/TARM1/TBX21/TCF7/TCIRG1/TGFBR2/TMEM98/TNFRSF14/TNFSF4/TNFSF8/TOX/TWSG1/VSIR/XCL1/ZAP70/ZBTB16/ZBTB7B/ZC3H12A/ZFPM1/ZNF683,138
GO:0042129,regulation of T cell proliferation,156/15173,167/18866,1.81E-06,2.93E-05,2.02E-05,AGER/AIF1/ANXA1/ARG1/ARG2/BMP4/BTN2A2/CARD11/CASP3/CCDC88B/CCL5/CCR2/CD1D/CD209/CD24/CD274/CD276/CD28/CD3E/CD4/CD40LG/CD46/CD55/CD6/CD70/CD80/CD81/CD86/CEBPB/CLC/CLEC4G/CLECL1/CORO1A/CRTAM/CTLA4/CTNNB1/DLG1/DLG5/DNAJA3/EBI3/EFNB1/ERBB2/FADD/FOXJ1/FOXP3/GLMN/GNRH1/GPAM/GPNMB/HAVCR2/HES1/HHLA2/HLA-A/HLA-DMB/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-E/HLA-G/HMGB1/ICOSLG/IDO1/IGFBP2/IHH/IL10/IL12A/IL12RB1/IL15/IL18/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/IL27/IL27RA/IL2RA/IL4/IL6/IL6ST/IRF1/JAK3/LEP/LGALS3/LGALS9/LGALS9B/LGALS9C/LILRB1/LILRB2/LRRC32/MAD1L1/MAPK8IP1/MARCHF7/NCK1/NCK2/NCKAP1L/NDFIP1/PAWR/PDCD1LG2/PDE5A/PELI1/PLA2G2D/PLA2G2F/PNP/PRKAR1A/PRKCQ/PRNP/PTPN22/PTPN6/PTPRC/PYCARD/RAC2/RASAL3/RC3H1/RIPK2/RIPK3/RPS3/SASH3/SCGB1A1/SCRIB/SDC4/SELENOK/SFTPD/SH3RF1/SHH/SLC7A1/SOS1/SPN/SPTA1/STAT5B/SYK/TFRC/TGFBR2/TMEM131L/TMIGD2/TNFRSF13C/TNFRSF14/TNFRSF1B/TNFRSF21/TNFSF13B/TNFSF18/TNFSF4/TNFSF8/TNFSF9/TRAF6/TWSG1/VCAM1/VSIG4/VSIR/VTCN1/XCL1/ZAP70/ZBTB7B/ZP3,156
GO:0002456,T cell mediated immunity,100/15173,104/18866,2.64E-06,4.00E-05,2.76E-05,AGER/AIRE/ARG1/B2M/BTN3A2/BTN3A3/CCR2/CD1A/CD1B/CD1C/CD1D/CD1E/CD46/CD55/CD70/CD81/CD8A/CEACAM1/CLC/CLEC4G/CTSC/CTSH/CYRIB/DENND1B/DLG1/DUSP22/EMP2/FADD/FBXO38/FCGR2B/FOXP3/FUT7/FZD5/GATA3/GFUS/GNL1/GZMM/HFE/HLA-A/HLA-B/HLA-E/HLA-F/HLA-G/HLA-H/HMGB1/HPRT1/HSPD1/ICAM1/IFNB1/IL12A/IL12RB1/IL18/IL18R1/IL18RAP/IL1B/IL1R1/IL20RB/IL23A/IL23R/IL31RA/IL4/IL6/IL7R/JAG1/KDELR1/LILRB1/MALT1/MAP3K7/MICA/MR1/MYO1G/NECTIN2/NLRP3/P2RX7/PPP3CB/PRF1/PRKCZ/PTPRC/PVR/RAB27A/RFTN1/RIPK3/RSAD2/SASH3/SCART1/SLC11A1/SLC22A13/SMAD7/STARD7/STX7/TBX21/TNFRSF1B/TNFSF4/TRAF2/TRAF6/TRPM4/WAS/XCL1/ZBTB1/ZP3,100
GO:0045580,regulation of T cell differentiation,140/15173,150/18866,7.16E-06,9.65E-05,6.66E-05,ABL1/ADA/ADAM8/ANXA1/AP3B1/AP3D1/BAD/BCL6/BMP4/BTN2A2/CAMK4/CARD11/CBFB/CCR2/CD2/CD27/CD28/CD46/CD74/CD80/CD83/CD86/CLPTM1/CR1/CRTAM/CTLA4/CYLD/DROSHA/DTX1/DUSP10/EGR3/ERBB2/FANCA/FANCD2/FGL2/FOXJ1/FOXP3/GATA3/GLI3/HLA-DOA/HLA-G/HLX/HMGB1/IFNB1/IFNG/IFNL1/IHH/IL12A/IL12RB1/IL15/IL18/IL1A/IL1B/IL1RL2/IL2/IL23A/IL23R/IL27/IL2RA/IL4/IL4R/IL7/IL7R/IRF1/IRF4/ITPKB/JAK3/KAT2A/LAG3/LEF1/LGALS9/LILRB2/LILRB4/LOXL3/MALT1/MDK/METTL3/MYB/NCKAP1L/NFATC2/NFKBID/NFKBIZ/NKAP/NLRP3/NRARP/PCK1/PIK3R6/PNP/PRDM1/PRDX2/PRELID1/PRKCZ/PTPN2/PTPRC/RAG1/RARA/RASGRP1/RC3H1/RC3H2/RHOA/RHOH/RIPK2/RUNX1/RUNX3/SART1/SASH3/SH3RF1/SHH/SLC46A2/SMAD7/SOCS1/SOCS5/SOD1/SOS1/SOX12/SOX13/SOX4/STAT5B/SYK/TBX21/TCF7/TESPA1/TGFBR2/TMEM131L/TNFRSF18/TNFSF4/TNFSF9/TOX/VNN1/VSIR/XBP1/ZAP70/ZBTB1/ZBTB16/ZBTB7B/ZC3H12A/ZC3H8/ZEB1/ZMIZ1/ZNF683,140
GO:0046634,regulation of alpha-beta T cell activation,93/15173,97/18866,9.34E-06,0.000120703,8.33E-05,ADA/ADORA2A/AGER/ANXA1/AP3B1/AP3D1/ARG2/BCL6/CBFB/CCR2/CD160/CD274/CD28/CD300A/CD3E/CD55/CD80/CD81/CD83/CD86/CRTAM/EBI3/FOXP3/GATA3/GLI3/HFE/HLA-A/HLA-E/HLX/HMGB1/HSPH1/IFNG/IHH/IL12A/IL12RB1/IL18/IL2/IL23A/IL23R/IL27/IL4/IL4R/IRF1/IRF4/ITPKB/JAK3/LGALS9/LGALS9B/LGALS9C/LILRB1/LOXL3/MALT1/MAPK8IP1/MYB/NCKAP1L/NFKBID/NFKBIZ/NKAP/NLRP3/PNP/PRDM1/PRKCQ/PRKCZ/PTPN22/PTPRC/RARA/RASAL3/RC3H1/RC3H2/RHOA/RIPK2/RUNX1/RUNX3/SASH3/SH3RF1/SHH/SMAD7/SOCS1/SOCS5/SYK/TARM1/TBX21/TGFBR2/TNFRSF14/TNFSF4/TWSG1/VSIR/XCL1/ZAP70/ZBTB16/ZBTB7B/ZC3H12A/ZNF683,93
GO:0033077,T cell differentiation in thymus,74/15173,76/18866,1.18E-05,0.000146982,0.000101392,ADA/ADAM17/ADAM8/AIRE/ATG5/B2M/BCL11B/BCL2/BMP4/CAMK4/CARD11/CCR6/CCR7/CD28/CD3D/CD3E/CD3G/CD74/CDK6/CLPTM1/CTNNB1/DNAJA3/DOCK2/EGR3/ERBB2/FADD/FOXJ1/FOXP3/FZD5/FZD7/FZD8/GATA3/GLI3/IHH/IL1A/IL1B/IL7R/ITPKB/JAG2/JMJD6/LIG4/MAFB/MR1/NCAPH2/NFKBID/NKAP/PRKDC/PRR7/PTPN2/PTPRC/RABL3/RAG1/RAG2/RASGRP1/RIPK3/SHH/SOD1/SOS1/SRF/STAT5B/STK11/TESPA1/TMEM131L/TOX/TP53/VNN1/WNT1/WNT4/ZAP70/ZBTB1/ZC3H8/ZEB1/ZFP36L1/ZFP36L2,74
